referencia,organismo,estado,tipo_subasta,fecha_inicio,fecha_conclusion,lotes,valor_subasta_eur,tasacion_eur,puja_minima_eur,tramo_pujas_eur,deposito_eur,descuento_pct,duracion_dias
SUB-RC-2025-4690000146914,Ayuntamiento de Torrent - Torrent,Finalizada y depósitos con reserva devueltos,RECAUDACIÓN TRIBUTARIA,2025-04-01,2025-10-03,1,55780.0,57350.0,27890.0,1000.0,2789.0,2.74,185.0
SUB-AT-2025-25R0686001036,E.R. SUBASTAS.SEDE BADAJOZ - BADAJOZ (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,6013.69,7517.12,601.37,500.0,300.68,20.0,20.0
SUB-AT-2025-25R0886001349,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,39600.0,66000.0,3960.0,1000.0,1980.0,40.0,20.0
SUB-AT-2025-25R0886001350,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,39600.0,66000.0,3960.0,1000.0,1980.0,40.0,20.0
SUB-AT-2025-25R2986001166,U.R. SUBASTAS ANDALUCIA 29 - MALAGA (AEAT),Cancelada,AGENCIA TRIBUTARIA,,,1,363539.04,439950.0,36353.9,2000.0,18176.95,17.37,
SUB-AT-2025-25R4186001117,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,165607.0,207008.76,16560.7,2000.0,8280.35,20.0,20.0
SUB-AT-2025-25R4186001389,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,186199.38,201249.75,18619.94,2000.0,9309.96,7.48,20.0
SUB-AT-2025-25R4186001437,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,63827.53,155981.7,,2000.0,3191.37,59.08,20.0
SUB-AT-2025-25R4186001502,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,22110.38,36850.64,2211.04,500.0,1105.51,40.0,20.0
SUB-AT-2025-25R4686001179,U.R. SUBASTAS VALENCIA - VALENCIA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,44098.91,55123.64,4409.89,1000.0,2204.94,20.0,20.0
SUB-AT-2025-25R4686001180,U.R. SUBASTAS VALENCIA - VALENCIA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,12714.67,15893.34,1271.47,500.0,635.73,20.0,20.0
SUB-AT-2025-25R4686001210,U.R. SUBASTAS VALENCIA - VALENCIA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,8542.24,15775.42,,500.0,427.11,45.85,20.0
SUB-AT-2025-25R4686001268,U.R. SUBASTAS VALENCIA - VALENCIA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,7555.64,9444.55,755.56,500.0,377.78,20.0,20.0
SUB-AT-2025-25R4686001290,U.R. SUBASTAS VALENCIA - VALENCIA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,41803.21,58350.0,4180.32,1000.0,2090.16,28.36,20.0
SUB-AT-2025-25R4686001310,U.R. SUBASTAS VALENCIA - VALENCIA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,4977.61,14265.5,,200.0,248.88,65.11,20.0
SUB-AT-2025-25R4686001315,U.R. SUBASTAS VALENCIA - VALENCIA (AEAT),Finalizada y depósitos con reserva devueltos,AGENCIA TRIBUTARIA,2025-09-16,2025-10-06,1,14440.36,18050.46,1444.04,500.0,722.01,20.0,20.0
SUB-RC-2025-0026I20250095,Suma Gestión Tributaria. Diputación de Alicante - ALACANT/ALICANTE (Suma Gestión Tributaria),Finalizada y depósitos con reserva devueltos,RECAUDACIÓN TRIBUTARIA,2025-09-16,2025-10-06,1,7750.37,9687.96,775.04,1000.0,387.52,20.0,20.0
SUB-RC-2025-0026I20250098,Suma Gestión Tributaria. Diputación de Alicante - ALACANT/ALICANTE (Suma Gestión Tributaria),Finalizada y depósitos con reserva devueltos,RECAUDACIÓN TRIBUTARIA,2025-09-16,2025-10-06,1,6258.6,7823.25,625.86,1000.0,312.93,20.0,20.0
