referencia,num_lotes_listado,organismo,expediente,estado,fecha_conclusion_listado,descripcion,url_detalle,id_sub,referencia_det,tipo_subasta,cuenta_expediente,fecha_inicio,fecha_conclusion,cantidad_reclamada_eur,lotes,anuncio_boe,valor_subasta_eur,tasacion_eur,puja_minima_eur,tramo_pujas_eur,deposito_eur,forma_adjudicacion
SUB-JA-2025-251407,1,JUZGADO 1 INSTANCIA 7 - SALAMANCA,0264/21,Pendiente de finalización y devolución de depósitos con reserva,01/11/2025 a las 01:52:53,"Finca Urbana.- vivienda sita en Calle Doctor Gómez Ulla número
          cuarenta y cuatro. Piso de la planta séptima con la Letra  A
          de Salamanca. Superficie útil: ochenta y nueve metros y
          noventa y nueve decímetros cuadrados.
          Finca registral nº950, inscripción 7ª, folio 93, libro 18 del
          Archivo, del Registro de Propiedad nº3 de Salamanca.","https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2025-251407&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-JA-2025-251407,SUB-JA-2025-251407,JUDICIAL EN VÍA DE APREMIO,3707 0000 06 0264 21,2025-09-23,2025-11-01,90000.0,1,BOE-B-2025-33579,90151.82,0.0,,,4507.59,
SUB-JA-2023-216198,1,JUZGADO 1ª INSTANCIA 8 - ALMERIA,1595/13,Cancelada,,"FINCA REGISTRAL Nº 5325 VIVIENDA CALLE MARMOL Nº 14, B 25, HUÉRCAL DE AMERIA","https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2023-216198&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-JA-2023-216198,SUB-JA-2023-216198,JUDICIAL EN VÍA DE APREMIO,4963 0000 06 1595 13,,,37110.58,1,BOE-B-2025-33879,229436.88,0.0,,4588.73,11471.84,
SUB-JA-2025-250701,1,JUZGADO 1 INSTANCIA 1 - INCA,1410/12,Pendiente de finalización y devolución de depósitos con reserva,02/11/2025 a las 20:42:07,FINCA 25102 FOLIO 138 TOMO 3779 LIBRO 559 REGISTRO PROP. Nº 1 INCA,"https://subastas.boe.es/detalleSubasta.php?idSub=SUB-JA-2025-250701&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-JA-2025-250701,SUB-JA-2025-250701,JUDICIAL EN VÍA DE APREMIO,0425 0000 06 1410 12,2025-09-23,2025-11-02,118646.04,1,BOE-B-2025-33530,273840.0,0.0,,5476.8,13692.0,
SUB-NH-2025-1606082,1,Notaría de Rosalia Priego Sancho - Montoro,,Cancelada,,Ver detalle en contenido subasta,"https://subastas.boe.es/detalleSubasta.php?idSub=SUB-NH-2025-1606082&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-NH-2025-1606082,SUB-NH-2025-1606082,NOTARIAL HIPOTECARIA,,,,26054.0,1,BOE-B-2025-34883,,79102.0,,,7911.0,
SUB-AT-2025-24R0886001629,1,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),,Finalizada y depósitos con reserva devueltos,03/11/2025 a las 18:00:00,VIVIENDA. CL PRAT DE LA RIBA 32 CONSTANTI TARRAGONA,"https://subastas.boe.es/detalleSubasta.php?idSub=SUB-AT-2025-24R0886001629&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-AT-2025-24R0886001629,SUB-AT-2025-24R0886001629,AGENCIA TRIBUTARIA,,2025-10-14,2025-11-03,,1,BOE-B-2025-36814,116583.88,116583.88,11658.39,2000.0,5829.19,
SUB-AT-2025-25R0886001052,1,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),,Cancelada,,"100% PLENO DOMINIO. VIVIENDA. CL/ OCHO, 5 SM 03. 08860 - CASTELLDEFELS (BARCELONA)","https://subastas.boe.es/detalleSubasta.php?idSub=SUB-AT-2025-25R0886001052&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-AT-2025-25R0886001052,SUB-AT-2025-25R0886001052,AGENCIA TRIBUTARIA,,,,,1,BOE-B-2025-36745,125082.01,125082.01,12508.2,2000.0,6254.1,
SUB-AT-2025-25R0886001357,1,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),,Finalizada y depósitos con reserva devueltos,03/11/2025 a las 18:00:00,"100% PLENO DOMINIO APARCAMIENTO 4 . AV/ DE LA VERGE DEL TORO, 94 -1. ALAIOR (ILLES BALEARS)","https://subastas.boe.es/detalleSubasta.php?idSub=SUB-AT-2025-25R0886001357&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-AT-2025-25R0886001357,SUB-AT-2025-25R0886001357,AGENCIA TRIBUTARIA,,2025-10-14,2025-11-03,,1,BOE-B-2025-36775,10334.66,10334.66,1033.46,500.0,516.73,
SUB-AT-2025-25R0886001439,1,U.R. SUBASTAS CATALUÑA - BARCELONA (AEAT),,Finalizada y depósitos con reserva devueltos,03/11/2025 a las 18:00:00,SOLAR          . MN LLAGOSTERA S/N. 17240 - LLAGOSTERA (GIRONA),"https://subastas.boe.es/detalleSubasta.php?idSub=SUB-AT-2025-25R0886001439&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-AT-2025-25R0886001439,SUB-AT-2025-25R0886001439,AGENCIA TRIBUTARIA,,2025-10-14,2025-11-03,,1,BOE-B-2025-36777,142909.6,178637.0,14290.96,2000.0,7145.48,
SUB-AT-2025-25R4186001565,1,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),,Finalizada y depósitos con reserva devueltos,03/11/2025 a las 18:00:00,"100% PLENO DOMINIO.FINCA 18713. AV PLAYAS DE CARTAYA 16 PLANTA -1, Nº6,EL ROMPIDO,CARTAYA (HUELVA)","https://subastas.boe.es/detalleSubasta.php?idSub=SUB-AT-2025-25R4186001565&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-AT-2025-25R4186001565,SUB-AT-2025-25R4186001565,AGENCIA TRIBUTARIA,,2025-10-14,2025-11-03,,1,BOE-B-2025-36798,6500.0,6500.0,650.0,500.0,325.0,
SUB-AT-2025-25R4186001572,1,U.R. SUBASTAS ANDALUCIA 41 - SEVILLA (AEAT),,Finalizada y depósitos con reserva devueltos,03/11/2025 a las 18:00:00,100% PLENO DOMINIO. FINCA REGISTRAL 22949. AV SAN SEBASTIAN 1 -1 G9. ISLA CRISTINA (HUELVA),"https://subastas.boe.es/detalleSubasta.php?idSub=SUB-AT-2025-25R4186001572&idBus=cjhmcG5jVFZDQlVuRzdqblBYNlNBa2laWUVITFRWRHNQMVAyZXN6c2h3RG1nRVBlYTg5ZWM1cS8zYVFTcG9keXhibzM5TWNNM0RXVE1NTlBIOTZ6dmVZVWI1U2dpaTNiOHI4RjZBZFdRcWFiSDAzSkd2WFRCelhWMExIcDVZS1pVcHJSZElCWFhGQTJEVS9lRmh1eFh2UGlvenZ4U2ZEU2xidG4ra1k2VHBEWkdYbVV0QUgvalBma214UXlidU9rcnlHWUcrVE45WjhkVUxQUWg3UWNXTFJ4aHgxMk9hSFNjOHZGTUlxVjVxd0huWTZCNWFHQTlPRFE0cmYwUytRNWhWeEFKbldiUjFiV0ZxV1Izb1FVU1pDRWRISjVZSHoxZTVGQVlJcDJaUkxmd1VpZmFLVGEwTVl1aGdMVDF1K2M,--50",SUB-AT-2025-25R4186001572,SUB-AT-2025-25R4186001572,AGENCIA TRIBUTARIA,,2025-10-14,2025-11-03,,1,BOE-B-2025-36802,11126.7,11126.7,1112.67,500.0,556.33,
